time,open,high,low,close,short1,short2,short3,short4,short5,short6,long1,long2,long3,long4,long5,long6,Basis,Upper,Lower,MA,MA,MA,Volume,Volume MA,RSI,Histogram,MACD,Signal
2019-01-17T15:30:00Z,105.44,105.54,105.09,105.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,104.455,107.0716887,101.8383113,NaN,NaN,NaN,357379,423944.9,61.61755649,0.031707696,0.703032063,0.671324367
2019-01-17T16:30:00Z,105.35,105.72,105.305,105.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,104.639,106.993017,102.284983,NaN,NaN,NaN,266076,428206.95,62.79385078,0.010860508,0.684900002,0.674039494
2019-01-17T17:30:00Z,105.52,105.63,105.25,105.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,104.829,106.7867834,102.8712166,NaN,NaN,NaN,228120,431973.6,62.88135563,-0.008282344,0.663686564,0.671968908
2019-01-17T18:30:00Z,105.51,105.57,105.35,105.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,104.9855,106.591146,103.379854,NaN,NaN,NaN,167674,428929.85,62.25067982,-0.028525458,0.636312086,0.664837544
2019-01-17T19:30:00Z,105.47,106.62,105.37,105.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,105.178,106.0876725,104.2683275,NaN,NaN,NaN,895732,456971.5,65.93056213,-0.020252229,0.639522257,0.659774486
2019-01-17T20:30:00Z,105.86,106.18,105.73,106.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,105.2615,106.2160528,104.3069472,NaN,NaN,NaN,391099,418797.5,68.49389986,-0.000236636,0.659478691,0.659715327
2019-01-18T14:30:00Z,107.42,107.71,105.91,106.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,105.3615,106.3070004,104.4159996,NaN,NaN,NaN,1144550,454747.65,69.37442309,0.013326599,0.676373576,0.663046977
2019-01-18T15:30:00Z,106.3,107.58,106.3,107.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,105.502,106.7824156,104.2215844,NaN,NaN,NaN,511885,454666.2,76.99180966,0.09230367,0.778426564,0.686122894
2019-01-18T16:30:00Z,107.48,107.69,107.19,107.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,105.638,107.2084598,104.0675402,NaN,NaN,NaN,343838,453542.3,77.92048551,0.142836361,0.864668346,0.721831985
2019-01-18T17:30:00Z,107.7,107.89,107.61,107.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,105.807,107.4806081,104.1333919,NaN,NaN,NaN,324202,451525.3,77.38933799,0.158526221,0.919989761,0.76146354
2019-01-18T18:30:00Z,107.66,107.69,107.21,107.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,105.9355,107.6466923,104.2243077,NaN,NaN,NaN,211045,442426.75,70.8055223,0.128857285,0.922535146,0.793677861
2019-01-18T19:30:00Z,107.23,107.6,106.96,107.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,106.058,107.8250495,104.2909505,NaN,NaN,NaN,309263,433958.55,71.75877743,0.105205122,0.925184264,0.819979142
2019-01-18T20:30:00Z,107.43,107.79,107.24,107.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,106.1585,108.0522188,104.2647812,NaN,NaN,NaN,506466,415946.55,73.55233834,0.094620554,0.938254835,0.84363428
2019-01-22T14:30:00Z,106.98,107.1,106.45,106.77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,106.2205,108.1090389,104.3319611,NaN,NaN,NaN,601751,420675.65,59.65093512,0.016622683,0.864412634,0.847789951
2019-01-22T15:30:00Z,106.77,107.04,106.54,106.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,106.289,108.1246024,104.4533976,NaN,NaN,NaN,280595,419934.15,57.24464771,-0.052990756,0.781551507,0.834542262
2019-01-22T16:30:00Z,106.57,106.68,105.9,106.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,106.3345,108.0965724,104.5724276,NaN,NaN,NaN,375874,426270.9,50.95350999,-0.135915148,0.664648327,0.800563475
2019-01-22T17:30:00Z,106.02,106.23,105.48,105.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,106.3495,108.0871591,104.6118409,NaN,NaN,NaN,365529,434852.35,48.20647643,-0.204656831,0.544742436,0.749399267
2019-01-22T18:30:00Z,105.76,105.77,105.13,105.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,106.3275,108.114026,104.540974,NaN,NaN,NaN,302455,439389.25,42.17849084,-0.284689772,0.393537052,0.678226824
2019-01-22T19:30:00Z,105.13,105.57,104.88,105.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,106.3345,108.1071644,104.5618356,NaN,NaN,NaN,439228,440066.85,46.45942139,-0.301861513,0.300899933,0.602761446
2019-01-22T20:30:00Z,105.51,105.97,105.08,105.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,106.3555,108.0949192,104.6160808,NaN,NaN,NaN,509209,426598.5,50.02462874,-0.280597603,0.252014442,0.532612045
2019-01-23T14:30:00Z,106.14,107.04,106.11,106.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,106.4065,108.0849192,104.7280808,NaN,NaN,NaN,538743,435666.7,54.96398958,-0.224230944,0.252323365,0.476554309
